PM10,SO2,CO,NO2,HKIsonuc
50.43073394495411,14.141798107255514,961.8517948717947,12.12857627118644,0
50.43073394495411,14.141798107255514,961.8517948717947,12.12857627118644,0
50.43073394495411,14.141798107255514,961.8517948717947,12.12857627118644,0
50.43073394495411,14.141798107255514,961.8517948717947,12.12857627118644,0
31.49,14.141798107255514,961.8517948717947,5.3,0
34.21,14.141798107255514,961.8517948717947,5.51,1
33.49,14.141798107255514,961.8517948717947,6.49,1
39.47,14.141798107255514,961.8517948717947,7.61,1
36.18,14.141798107255514,961.8517948717947,8.35,1
50.43073394495411,14.141798107255514,961.8517948717947,12.12857627118644,0
50.43073394495411,14.141798107255514,961.8517948717947,12.12857627118644,0
44.06,14.141798107255514,111.47,5.34,1
34.06,14.141798107255514,93.99,5.68,0
30.77,14.141798107255514,68.86,8.73,0
40.73,14.141798107255514,83.29,9.78,1
39.75,14.141798107255514,93.29,15.32,1
43.64,14.141798107255514,90.09,13.24,1
35.12,6.04,72.3,8.2,0
25.15,1.48,70.4,5.07,0
18.65,14.141798107255514,80.64,4.45,0
24.24,14.141798107255514,85.67,9.42,0
33.13,14.141798107255514,125.19,15.36,0
37.99,28.21,156.68,14.27,1
50.43073394495411,14.141798107255514,961.8517948717947,9.72,0
50.43073394495411,14.141798107255514,148.66,5.8,0
50.43073394495411,14.141798107255514,161.18,5.25,0
50.43073394495411,14.141798107255514,144.37,14.8,0
50.43073394495411,2.21,167.73,10.24,0
50.43073394495411,14.141798107255514,194.78,15.59,0
22.79,14.141798107255514,201.98,7.95,0
14.02,14.141798107255514,220.43,8.78,0
18.08,14.141798107255514,219.74,7.33,0
21.64,14.141798107255514,248.47,5.07,0
28.49,14.141798107255514,325.58,7.5,0
17.35,14.141798107255514,301.79,3.71,0
24.6,14.141798107255514,272.81,4.57,0
30.51,14.141798107255514,312.4,15.16,0
14.16,32.96,44017.68,14.29,0
35.97,30.55,961.8517948717947,16.85,1
53.17,78.94,152.53,32.12,2
48.19,13.39,110.64,13.87,1
33.64,8.81,961.8517948717947,9.16,1
44.45,11.74,961.8517948717947,10.52,1
30.46,3.42,961.8517948717947,9.83,0
24.36,2.0,961.8517948717947,6.29,0
50.84,45.21,961.8517948717947,18.78,0
42.42,47.57,961.8517948717947,20.16,1
42.48,10.51,961.8517948717947,14.0,1
44.09,10.55,961.8517948717947,11.24,1
50.43073394495411,1.43,460.85,5.16,0
31.59,2.79,439.81,0.24,0
37.06,3.37,371.73,12.12857627118644,0
32.68,1.15,408.45,12.12857627118644,0
31.53,13.96,424.4,12.12857627118644,0
25.11,3.36,309.23,12.12857627118644,0
24.05,7.22,275.92,12.12857627118644,0
42.19,21.14,243.14,12.12857627118644,1
50.63,30.73,237.11,12.12857627118644,0
33.45,8.38,277.85,12.12857627118644,0
54.35,22.12,282.04,12.12857627118644,1
41.82,30.2,287.39,0.21,1
50.43073394495411,14.141798107255514,961.8517948717947,12.12857627118644,0
50.43073394495411,14.141798107255514,961.8517948717947,12.12857627118644,0
50.43073394495411,14.141798107255514,961.8517948717947,12.12857627118644,0
50.43073394495411,14.141798107255514,961.8517948717947,12.12857627118644,0
50.43073394495411,14.141798107255514,961.8517948717947,12.12857627118644,0
30.63,1.56,582.51,0.23,0
26.63,2.84,524.36,0.23,0
20.15,3.14,501.53,0.23,0
50.43073394495411,10.92,510.89,0.23,0
27.45,5.72,512.93,0.24,0
19.6,2.13,566.49,0.24,0
50.43073394495411,1.68,590.57,0.23,0
41.28,1.99,588.58,0.23,0
54.09,1.75,656.77,0.24,1
62.91,14.51,668.85,0.24,1
65.04,7.48,618.29,0.23,1
52.93,34.0,569.83,0.23,1
50.91,14.22,545.18,6.14,0
47.55,31.13,371.55,23.23,1
42.72,16.19,338.33,11.65,1
50.99,27.74,326.03,16.57,0
45.54,18.91,357.41,13.63,1
49.12,33.25,355.92,17.73,1
48.49,11.45,301.02,18.89,1
45.43,22.02,331.77,17.02,1
43.53,6.87,330.24,10.35,1
29.06,3.86,282.48,7.11,0
25.71,3.39,282.33,7.3,0
48.84,25.63,272.5,15.61,1
27.78,9.13,269.61,9.62,0
45.87,21.56,287.28,15.3,1
46.41,35.84,279.26,16.97,1
35.9,11.51,288.41,10.11,0
58.62,49.42,271.45,19.98,1
40.32,7.3,304.89,9.37,1
43.49,13.53,336.79,12.55,1
41.54,7.14,337.8,7.65,1
47.12,4.85,309.33,9.03,1
54.92,2.81,276.17,10.3,1
78.0,22.06,334.99,18.34,2
48.39,20.52,340.86,20.35,1
22.83,3.25,301.32,6.51,0
26.95,13.24,326.87,9.58,0
29.16,3.39,535.36,8.22,0
72.17,9.68,727.41,16.47,1
32.76,3.47,501.36,8.47,0
39.46,2.76,551.09,9.2,0
33.89,1.97,510.42,6.75,0
24.42,3.26,445.27,6.26,0
39.01,4.04,673.97,6.8,0
44.41,4.54,627.3,10.07,1
48.17,3.11,643.32,10.37,1
53.21,2.7,659.63,11.4,1
52.67,4.4,571.54,9.49,1
54.52,19.23,464.81,15.31,1
50.43073394495411,14.141798107255514,961.8517948717947,12.12857627118644,0
50.43073394495411,14.141798107255514,961.8517948717947,12.12857627118644,0
50.43073394495411,14.141798107255514,961.8517948717947,12.12857627118644,0
28.55,8.22,620.51,14.34,0
28.35,35.75,565.12,13.04,1
53.52,6.71,963.02,8.83,1
64.8,7.26,936.68,9.4,1
39.79,19.19,510.99,11.88,1
54.07,10.25,825.07,10.36,1
54.03,6.17,1034.87,8.79,1
66.53,18.08,1075.92,15.06,1
51.3,10.24,945.58,16.47,1
53.21,6.29,1120.36,11.67,1
50.69,4.8,1098.86,9.95,0
64.81,5.27,1305.78,9.23,1
63.54,12.38,1325.11,10.44,1
51.9,11.45,1241.75,12.09,1
57.57,18.38,1303.38,16.81,1
55.64,10.78,1267.42,12.78,1
49.86,22.51,1181.01,14.94,1
55.01,6.62,1359.01,13.95,1
54.6,13.7,1279.84,15.63,1
50.63,19.15,1174.81,14.03,0
54.99,8.21,1324.23,12.09,1
59.98,6.54,1555.44,9.17,1
60.1,7.23,1611.98,9.4,1
41.24,8.44,1237.6,9.5,1
31.33,10.53,791.49,16.83,1
38.85,14.02,605.67,11.81,1
67.08,11.87,1068.38,15.67,1
68.51,11.34,1099.38,13.25,1
52.21,9.01,838.12,15.3,1
70.91,8.61,1138.51,14.57,1
85.51,8.36,959.86,16.63,2
72.73,10.85,985.98,22.16,1
74.82,14.14,1146.12,20.27,2
80.08,15.94,1212.68,18.68,2
104.69,20.28,1437.2,24.43,2
101.34,17.74,1356.78,25.05,2
50.43073394495411,14.141798107255514,961.8517948717947,12.12857627118644,0
50.43073394495411,14.141798107255514,961.8517948717947,12.12857627118644,0
50.43073394495411,14.141798107255514,961.8517948717947,12.12857627118644,0
50.43073394495411,14.141798107255514,961.8517948717947,12.12857627118644,0
50.43073394495411,15.04,1528.92,16.89,0
93.58,36.03,1557.76,28.58,2
100.55,21.13,1601.17,26.55,0
91.95,28.46,1556.85,24.99,2
100.8,29.8,1622.1,22.81,0
90.37,40.82,1531.54,24.45,2
88.69,16.06,1584.91,16.0,2
90.62,21.09,1756.47,18.37,2
121.44,51.88,1842.93,25.84,2
69.48,15.41,1248.37,18.4,1
69.64,9.49,1079.11,11.87,1
65.21,14.83,1206.69,12.99,1
52.09,17.52,1216.1,11.36,1
39.34,14.36,1003.09,11.35,1
22.92,8.42,889.78,5.36,0
28.4,8.1,1097.99,8.67,0
57.76,24.34,1498.41,18.45,1
23.43,17.18,1075.49,16.02,0
35.95,13.39,1249.31,12.26,1
71.37,21.06,1552.16,19.58,2
97.53,24.92,1982.45,19.09,2
67.42,23.02,1523.11,16.1,0
57.19,16.57,1622.91,16.61,1
50.43073394495411,26.47,2158.01,21.45,0
50.43073394495411,24.39,2070.72,20.73,0
141.09,33.25,2858.39,30.05,2
93.08,25.82,2203.32,18.79,2
63.24,21.27,1870.33,21.98,2
76.41,20.32,1968.56,15.51,2
79.17,15.15,1941.62,17.19,2
50.43073394495411,27.13,2274.47,23.52,0
105.13,32.39,2313.78,22.35,0
50.43073394495411,32.4,2790.68,22.84,1
50.43073394495411,33.19,2019.57,18.96,0
104.36,35.61,1181.95,14.55,2
67.66,23.12,729.98,12.12857627118644,1
29.77,11.53,297.18,12.12857627118644,0
48.78,27.1,732.72,10.34,1
27.28,18.19,446.34,4.77,0
32.87,15.83,499.1,13.13,1
24.54,11.91,392.16,12.12857627118644,0
30.81,12.61,517.73,8.28,0
39.33,23.19,564.61,15.28,1
46.63,17.67,700.27,10.53,1
34.47,12.49,521.39,8.02,0
32.89,14.62,531.73,12.12857627118644,1
31.18,16.12,598.32,8.05,0
37.59,13.71,693.75,8.46,1
49.23,20.18,748.86,9.03,1
54.54,24.58,786.73,10.27,1
57.43,23.69,1074.12,13.86,1
72.22,25.4,1047.72,21.56,2
23.63,9.9,541.76,3.64,0
34.42,18.52,748.31,12.34,1
49.13,19.53,869.38,15.35,1
84.48,32.08,1362.0,19.03,2
82.53,33.07,1273.87,15.35,2
41.09,14.69,961.8517948717947,10.41,1
87.72,30.75,961.8517948717947,18.3,2
83.03,25.33,961.8517948717947,13.46,2
78.07,26.26,961.8517948717947,13.93,2
62.09,19.8,961.8517948717947,12.72,1
31.37,15.43,961.8517948717947,9.02,1
50.0,21.25,961.8517948717947,9.99,1
42.69,16.53,961.8517948717947,9.49,1
25.61,13.02,961.8517948717947,4.25,0
36.79,18.87,961.8517948717947,8.0,1
36.72,16.3,961.8517948717947,8.55,1
36.9,14.5,961.8517948717947,10.72,1
55.98,21.65,961.8517948717947,18.63,1
75.75,25.47,961.8517948717947,18.7,2
108.53,36.29,961.8517948717947,24.86,2
97.69,33.16,961.8517948717947,19.17,2
69.05,17.41,961.8517948717947,10.93,1
26.89,14.23,961.8517948717947,12.12857627118644,0
30.46,17.89,587.66,9.98,0
39.01,17.99,557.79,9.53,1
44.93,18.76,588.54,5.56,1
50.43073394495411,28.07,664.86,6.28,0
50.43073394495411,15.9,844.01,11.14,0
46.13,12.69,884.46,5.56,1
29.29,14.99,794.66,3.72,0
21.73,13.68,673.54,12.12857627118644,0
19.26,8.63,620.84,12.12857627118644,0
23.87,16.2,732.65,12.12857627118644,0
41.13,17.52,948.75,11.51,1
43.02,22.93,919.0,7.83,1
31.0,16.03,844.34,8.51,0
51.09,23.43,1087.9,8.77,1
46.69,19.31,1010.68,12.36,1
56.87,22.62,1235.9,14.26,1
65.25,16.2,1112.11,7.24,1
59.17,15.0,1208.12,12.18,1
76.9,24.41,1451.22,20.55,2
95.99,29.82,1607.68,23.1,2
97.58,22.65,1482.31,24.4,2
46.41,12.1,1032.31,9.59,1
36.02,10.73,1025.66,5.83,1
65.73,15.74,1317.52,9.41,1
74.99,20.97,1438.4,9.75,2
53.54,12.74,1077.06,11.75,1
111.18,27.14,1558.32,21.51,2
108.34,26.67,1521.96,18.72,2
33.25,12.4,1021.82,6.82,1
43.6,9.86,1071.93,8.52,1
30.57,7.66,1084.33,3.98,0
79.15,20.22,1558.95,15.3,2
97.37,20.32,1624.21,17.88,2
76.46,17.86,1282.83,12.6,2
117.14,24.44,1555.3,22.68,2
67.45,14.42,1389.2,13.19,1
78.76,17.09,1632.3,13.63,2
90.4,18.4,1540.11,16.7,2
82.51,23.69,1347.83,21.98,2
92.54,11.22,592.53,14.66,2
51.7,7.87,343.09,11.2,1
